Bal,Brick,Distance,District,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloors,Price,Rooms,Tel,Totsp,Walk
,1.0,2.581361517836832,CAD,2,9.5,15.8,8.0,209,0,7.0,10300000,1,1.0,37.6,1.0
0.0,,4.053447401245967,CAD,5,,44.3,6.0,210,1,,10301984,1,,44.3,1.0
1.0,0.0,2.561433234980412,CAD,13,11.0,28.0,5.0,211,0,16.0,10329300,2,,49.0,1.0
1.0,0.0,2.1108671259987504,CAD,3,7.0,17.5,5.0,212,0,10.0,10400000,1,1.0,33.0,1.0
1.0,0.0,2.489287138813609,CAD,6,7.0,28.0,4.0,213,0,12.0,10450000,2,1.0,46.0,1.0
0.0,,4.053447401245967,CAD,4,,46.0,6.0,214,1,,10485169,1,,46.0,1.0
,0.0,2.33414366758658,CAD,2,10.0,18.0,8.0,215,0,5.0,10488000,1,,38.0,1.0
1.0,1.0,2.6417301036418874,CAD,4,9.0,17.0,10.0,216,0,9.0,10490000,1,,37.0,0.0
1.0,,3.489626919055608,CAD,3,6.0,28.0,10.0,217,0,5.0,10500000,2,1.0,40.0,1.0
0.0,0.0,3.607982359909527,CAD,1,9.0,35.0,11.0,218,0,12.0,10500000,2,,47.0,1.0
1.0,0.0,3.7730300150456166,CAD,11,9.0,19.0,3.0,219,0,17.0,10500000,1,0.0,39.0,1.0
,,5.387444939689356,CAD,3,9.0,47.0,9.0,220,0,5.0,10500000,3,1.0,65.0,1.0
,,4.961665766672686,CAD,2,10.0,19.0,2.0,221,0,5.0,10500000,1,1.0,35.5,1.0
1.0,1.0,2.6417301036418874,CAD,1,9.0,17.0,10.0,222,0,9.0,10500000,1,1.0,37.0,1.0
1.0,,3.662197422004107,CAD,6,7.5,23.5,8.0,223,0,9.0,10500000,2,,38.0,1.0
1.0,1.0,2.9367704422758423,CAD,6,21.0,117.8,5.0,224,0,11.0,102596344,3,0.0,187.0,1.0
,1.0,3.275575145777728,CAD,2,15.0,50.0,10.0,225,1,7.0,23020800,2,,65.0,1.0
1.0,1.0,2.029015165668419,CAD,3,8.7,48.5,7.0,226,0,6.0,39000000,3,0.0,71.0,1.0
1.0,1.0,3.636669824425222,CAD,10,9.0,21.0,9.0,227,0,12.0,10500000,1,1.0,38.0,1.0
,,4.04080621493833,CAD,2,7.0,27.1,20.0,228,0,8.0,10500000,2,1.0,48.3,1.0
,1.0,4.053447401245967,CAD,3,,35.0,6.0,229,1,8.0,10598345,2,,61.5,1.0
1.0,1.0,2.7011681147829587,CAD,2,6.0,29.0,3.0,230,0,5.0,10600000,2,,44.0,1.0
,1.0,4.053447401245967,CAD,4,60.7,0.0,5.0,231,1,4.0,10661503,2,,60.7,1.0
0.0,,4.053447401245967,CAD,4,,60.7,6.0,232,1,,10661503,1,,60.7,1.0
1.0,1.0,2.9296428120205262,CAD,2,6.0,25.2,3.0,233,0,8.0,10700000,2,1.0,36.6,1.0
0.0,,4.053447401245967,CAD,4,,47.3,6.0,234,1,,10795300,1,,47.3,1.0
1.0,0.0,4.938961803762336,CAD,15,8.0,28.0,10.0,235,0,16.0,10800000,2,1.0,49.0,1.0
1.0,1.0,4.759002859659786,CAD,5,9.0,34.0,15.0,236,0,14.0,10800000,2,1.0,53.0,1.0
1.0,1.0,3.611201346421793,CAD,5,5.0,26.0,5.0,237,0,5.0,10800000,2,,42.0,1.0
,1.0,4.053447401245967,CAD,1,,30.0,6.0,238,1,5.0,10817568,2,,51.3,1.0
,1.0,4.053447401245967,CAD,1,,25.0,6.0,239,1,5.0,10817568,1,,51.3,1.0
,1.0,4.3857062440327415,CAD,4,,45.7,,240,1,19.0,10821600,3,,64.8,
0.0,,4.053447401245967,CAD,4,,47.6,6.0,241,1,,10859151,1,,47.6,1.0
,0.0,3.4962928319886073,CAD,2,22.0,19.0,5.0,242,0,12.0,10900000,2,0.0,45.0,1.0
1.0,0.0,4.726064649370387,CAD,6,9.5,19.4,5.0,243,0,14.0,10900000,1,1.0,35.0,1.0
1.0,1.0,4.427152994505404,CAD,5,6.0,32.0,7.0,244,0,9.0,10900000,2,1.0,43.0,1.0
1.0,1.0,1.7430059802983857,CAD,3,6.0,19.0,10.0,245,0,10.0,10900000,1,1.0,34.0,1.0
