0,1,2,3,4,5,6,7,8,9,10,11,Distr,12,13,14
1.0,1.0,13.796306277050073,10.0,9.6,18.6,5.0,1.0,13.0,7784340.0,1.0,,NW,40.0,1.0,48916041.0
1.0,1.0,11.819643149588936,3.0,6.0,29.0,10.0,0.0,9.0,7800000.0,2.0,1.0,NW,44.0,1.0,151579171.0
1.0,1.0,13.796306277050073,11.0,10.3,17.0,5.0,1.0,13.0,7998285.0,1.0,,NW,39.9,1.0,48909446.0
1.0,1.0,13.796306277050073,3.0,12.5,30.7,5.0,1.0,19.0,10273237.0,2.0,,NW,61.5,1.0,149580848.0
1.0,1.0,11.861310791766856,3.0,21.0,127.0,2.0,0.0,24.0,58000000.0,4.0,1.0,NW,148.0,0.0,151998363.0
1.0,1.0,13.330659034157586,7.0,11.0,19.0,11.0,1.0,14.0,9880570.0,1.0,,NW,43.7,1.0,12376270.0
1.0,0.0,15.234891945534846,5.0,8.0,18.0,23.0,0.0,9.0,3040000.0,1.0,,NW,37.5,1.0,151348767.0
1.0,1.0,14.180456446188574,3.0,11.0,35.0,8.0,0.0,5.0,4635000.0,2.0,,NW,71.0,1.0,151349395.0
1.0,1.0,13.796306277050073,2.0,10.3,17.0,5.0,1.0,19.0,6805318.0,1.0,,NW,40.8,1.0,149280942.0
1.0,0.0,13.263553187860815,9.0,9.5,44.4,5.0,0.0,14.0,9000000.0,3.0,1.0,NW,64.6,0.0,151936206.0
,1.0,11.147170811660619,1.0,30.0,120.0,14.0,0.0,2.0,72000000.0,3.0,1.0,NW,170.0,1.0,146308571.0
1.0,1.0,14.333009091601696,4.0,10.0,42.0,10.0,0.0,5.0,6600000.0,3.0,,NW,77.3,1.0,151349606.0
1.0,0.0,14.442813484758284,11.0,8.7,28.6,5.0,0.0,14.0,7725000.0,2.0,,NW,48.2,1.0,151952673.0
1.0,,12.889214564180612,10.0,10.0,49.0,19.0,0.0,14.0,17000000.0,3.0,1.0,NW,77.7,1.0,151598295.0
,1.0,11.147170811660619,2.0,30.0,50.0,20.0,0.0,2.0,34000000.0,2.0,1.0,NW,80.0,1.0,146309989.0
,1.0,11.861310791766856,23.0,,490.0,7.0,0.0,23.0,444610800.0,6.0,,NW,613.0,1.0,149831749.0
1.0,1.0,13.796306277050073,3.0,12.5,30.7,5.0,1.0,13.0,10273237.0,2.0,,NW,61.5,1.0,149600087.0
,1.0,12.021306552990108,16.0,,97.0,5.0,0.0,25.0,49092442.0,3.0,,NW,122.0,0.0,150609720.0
1.0,1.0,13.796306277050073,2.0,10.3,17.0,5.0,1.0,19.0,6805318.0,1.0,,NW,40.8,1.0,149309731.0
1.0,1.0,16.648150065930448,4.0,13.0,58.0,8.0,0.0,5.0,38000000.0,3.0,,NW,135.0,1.0,151528366.0
1.0,0.0,16.806516315418573,8.0,10.0,20.0,10.0,0.0,12.0,6300000.0,1.0,0.0,NW,36.0,0.0,149617116.0
1.0,0.0,15.818931392272189,8.0,6.2,40.0,7.0,0.0,12.0,9650000.0,3.0,1.0,NW,61.0,1.0,149542424.0
,0.0,16.081409528406585,2.0,5.2,14.5,5.0,0.0,9.0,3500000.0,1.0,1.0,NW,30.2,1.0,152162397.0
